lat,lon,alt,date,D_js,I_js,F_js,D_exe,I_exe,F_exe,D_diff,I_diff,F_diff
-60,0,100,2025,159.28206671708884,69.55398463407525,40102.564976572954,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,0,2020,133.9881184421825,80.09401424898398,56743.014026871446,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,0,2022.5,133.97154355105843,80.15250320951787,56727.42102497505,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,0,2025,133.95476329886304,80.21102345393342,56711.88731001498,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,10,2020,134.07731606509998,80.0966564522875,56474.24601426549,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,10,2022.5,134.0612319501935,80.15493567859335,56458.56807893951,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,10,2025,134.04494910138627,80.21324645014694,56442.948720293054,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,100,2020,134.86605830576073,80.1188999922699,54130.48781892475,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,100,2022.5,134.8542609995823,80.17532691833254,54114.113629149855,NaN,NaN,NaN,NaN,NaN,NaN
-60,90,100,2025,134.84232149118557,80.23178753443737,54097.79202368214,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,0,2020,-139.57043780915242,77.62467222600603,56755.90875937107,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,0,2022.5,-139.33471520932858,77.5804898241109,56643.09065709844,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,0,2025,-139.09971073935003,77.53592765602474,56530.350738508394,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,10,2020,-139.60198210234933,77.62336865584514,56483.35563458178,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,10,2022.5,-139.36701463998057,77.5792908547088,56371.12898230401,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,10,2025,-139.13275933827813,77.53483506288036,56258.97970530177,NaN,NaN,NaN,NaN,NaN,NaN
